(6344, datetime.datetime(2022, 11, 14, 10, 33, 8), 59, '0', '0', 400.0, 327.0, 331.0, 0.0, 1.0, 'ok')
(6348, datetime.datetime(2022, 11, 14, 10, 33, 16), 59, '0', '0', 399.0, 328.0, 328.0, 5.0, 1.0, 'ok')
(6349, datetime.datetime(2022, 11, 14, 10, 33, 19), 59, '0', '0', 399.0, 327.0, 328.0, 8.0, 1.0, 'ok')
(6350, datetime.datetime(2022, 11, 14, 10, 33, 21), 59, '0', '0', 399.0, 327.0, 328.0, 9.0, 1.0, 'ok')
(6353, datetime.datetime(2022, 11, 14, 10, 33, 27), 59, '0', '0', 399.0, 328.0, 327.0, 13.0, 1.0, 'ok')
(6354, datetime.datetime(2022, 11, 14, 10, 33, 30), 59, '0', '0', 399.0, 328.0, 327.0, 14.0, 1.0, 'ok')
(6355, datetime.datetime(2022, 11, 14, 10, 33, 32), 59, '0', '0', 399.0, 327.0, 326.0, 14.0, 1.0, 'ok')
(6356, datetime.datetime(2022, 11, 14, 10, 33, 34), 59, '0', '0', 398.0, 328.0, 322.0, 14.0, 1.0, 'ok')
(6357, datetime.datetime(2022, 11, 14, 10, 33, 36), 59, '0', '0', 398.0, 329.0, 345.0, 14.0, 1.0, 'ok')
(6358, datetime.datetime(2022, 11, 14, 10, 33, 38), 59, '0', '0', 398.0, 328.0, 344.0, 14.0, 1.0, 'ok')
(6359, datetime.datetime(2022, 11, 14, 10, 33, 41), 59, '0', '0', 398.0, 327.0, 347.0, 14.0, 1.0, 'ok')
(6360, datetime.datetime(2022, 11, 14, 10, 33, 43), 59, '0', '0', 398.0, 327.0, 345.0, 14.0, 1.0, 'ok')
(6361, datetime.datetime(2022, 11, 14, 10, 33, 45), 59, '0', '0', 398.0, 328.0, 345.0, 14.0, 1.0, 'ok')
(6362, datetime.datetime(2022, 11, 14, 10, 33, 47), 59, '0', '0', 398.0, 328.0, 346.0, 14.0, 1.0, 'ok')
(6363, datetime.datetime(2022, 11, 14, 10, 33, 49), 59, '0', '0', 398.0, 328.0, 345.0, 15.0, 1.0, 'ok')
(6368, datetime.datetime(2022, 11, 14, 10, 34), 59, '0', '0', 399.0, 327.0, 322.0, 22.0, 1.0, 'ok')
(6369, datetime.datetime(2022, 11, 14, 10, 34, 2), 59, '0', '0', 398.0, 328.0, 321.0, 23.0, 1.0, 'ok')
(6370, datetime.datetime(2022, 11, 14, 10, 34, 4), 59, '0', '0', 399.0, 328.0, 325.0, 25.0, 1.0, 'ok')
(6371, datetime.datetime(2022, 11, 14, 10, 34, 7), 59, '0', '0', 399.0, 327.0, 327.0, 27.0, 1.0, 'ok')
(6372, datetime.datetime(2022, 11, 14, 10, 34, 9), 59, '0', '0', 398.0, 327.0, 327.0, 29.0, 1.0, 'ok')
(6373, datetime.datetime(2022, 11, 14, 10, 34, 11), 59, '0', '0', 399.0, 327.0, 326.0, 31.0, 1.0, 'ok')
(6374, datetime.datetime(2022, 11, 14, 10, 34, 14), 59, '0', '0', 399.0, 327.0, 327.0, 33.0, 1.0, 'ok')
(6375, datetime.datetime(2022, 11, 14, 10, 34, 16), 59, '0', '0', 399.0, 327.0, 327.0, 35.0, 1.0, 'ok')
(6376, datetime.datetime(2022, 11, 14, 10, 34, 18), 59, '0', '0', 399.0, 327.0, 327.0, 38.0, 1.0, 'ok')
(6403, datetime.datetime(2022, 11, 14, 10, 35, 22), 59, '0', '0', 399.0, 327.0, 327.0, 74.0, 1.0, 'ok')
